                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99002,                0.82736,                 1.3859,                0.92882,                0.88892,                0.93976,                0.53481,                 1.5733,                0.76759,                 2.0745,              0.0033291,              0.0033291,              0.0033291
                      2,                0.96981,                 0.7788,                 1.3679,                0.86202,                0.90079,                0.92369,                0.55296,                 1.5456,                0.79459,                 2.0064,              0.0065965,              0.0065965,              0.0065965
                      3,                 1.0049,                0.83726,                 1.3892,                0.84293,                0.90339,                0.92904,                0.52885,                 1.5643,                0.81901,                 2.0481,              0.0097978,              0.0097978,              0.0097978
                      4,                 1.0471,                0.88398,                 1.4186,                0.90297,                0.87251,                0.93302,                0.56599,                 1.4213,                0.81883,                 1.8833,               0.009703,               0.009703,               0.009703
                      5,                 1.0364,                0.87331,                 1.4087,                0.88771,                0.91095,                0.93006,                0.56881,                 1.4022,                0.77577,                 1.8575,               0.009703,               0.009703,               0.009703
                      6,                  1.034,                0.86139,                 1.4121,                0.89251,                0.86987,                0.92211,                0.53691,                 1.5076,                0.81568,                 1.9529,               0.009604,               0.009604,               0.009604
                      7,                 1.0212,                0.83999,                 1.4006,                0.84163,                0.90596,                0.92153,                0.55424,                 1.4558,                0.78969,                 1.9283,               0.009505,               0.009505,               0.009505
                      8,                 1.0154,                0.82049,                 1.3993,                0.90896,                0.90768,                0.94419,                0.55017,                 1.4902,                0.72708,                 1.9855,               0.009406,               0.009406,               0.009406
                      9,                 1.0033,                0.80314,                 1.3877,                0.88261,                0.90837,                0.93542,                0.56539,                 1.4592,                0.75172,                 1.9532,               0.009307,               0.009307,               0.009307
                     10,                0.98327,                0.78155,                 1.3731,                0.89449,                0.91529,                 0.9459,                0.57323,                 1.4597,                0.72162,                 1.9527,               0.009208,               0.009208,               0.009208
                     11,                 0.9875,                0.77022,                 1.3757,                0.89315,                0.90644,                0.92921,                0.56885,                 1.4579,                 0.7442,                 1.9792,               0.009109,               0.009109,               0.009109
                     12,                0.97021,                0.75342,                 1.3609,                0.89201,                0.90634,                0.93713,                 0.5825,                 1.4038,                0.71333,                 1.8876,                0.00901,                0.00901,                0.00901
                     13,                0.97095,                0.75223,                 1.3626,                0.91489,                0.92097,                0.94627,                0.55137,                 1.5081,                0.71716,                 2.0094,               0.008911,               0.008911,               0.008911
                     14,                0.97219,                0.74195,                 1.3644,                 0.8938,                0.90273,                0.93629,                0.54526,                 1.5425,                0.70154,                 2.0447,               0.008812,               0.008812,               0.008812
                     15,                0.96231,                0.74213,                 1.3596,                0.89924,                0.93327,                0.94775,                0.58842,                 1.4019,                0.67219,                 1.9107,               0.008713,               0.008713,               0.008713
                     16,                0.95679,                0.73372,                 1.3485,                0.90873,                0.91818,                0.94528,                0.55928,                 1.4696,                0.71352,                 2.0073,               0.008614,               0.008614,               0.008614
                     17,                0.95626,                0.71886,                 1.3534,                0.91856,                0.90364,                0.94252,                 0.5567,                 1.4743,                0.69316,                 1.9625,               0.008515,               0.008515,               0.008515
                     18,                0.94599,                 0.7121,                 1.3504,                0.90744,                0.91461,                0.94062,                0.59256,                 1.3751,                0.68233,                 1.8673,               0.008416,               0.008416,               0.008416
                     19,                0.93893,                0.70554,                 1.3393,                0.91268,                0.91319,                0.93535,                0.53342,                 1.5674,                0.70753,                 2.0681,               0.008317,               0.008317,               0.008317
                     20,                0.93967,                0.69502,                  1.339,                0.91708,                  0.914,                 0.9379,                0.55356,                 1.4981,                0.66337,                 2.0228,               0.008218,               0.008218,               0.008218
                     21,                0.92535,                0.67821,                  1.331,                 0.8996,                0.92166,                 0.9434,                0.54765,                 1.5456,                0.67812,                 2.0788,               0.008119,               0.008119,               0.008119
                     22,                0.92823,                0.68085,                 1.3339,                0.92474,                0.93268,                0.95672,                0.57122,                 1.4872,                0.67181,                 2.0315,                0.00802,                0.00802,                0.00802
                     23,                0.92039,                0.66957,                 1.3237,                0.91882,                0.93017,                 0.9476,                0.58287,                 1.4275,                0.65643,                 1.9743,               0.007921,               0.007921,               0.007921
                     24,                0.91875,                0.66347,                 1.3251,                0.89867,                0.91977,                0.94104,                0.58345,                 1.4178,                0.64583,                 1.9398,               0.007822,               0.007822,               0.007822
                     25,                0.91155,                0.66417,                 1.3201,                0.89726,                0.91835,                0.93646,                0.57829,                  1.446,                0.65258,                 1.9836,               0.007723,               0.007723,               0.007723
                     26,                0.90423,                0.64714,                 1.3136,                 0.9284,                0.92274,                0.95421,                0.58794,                 1.4303,                0.64568,                 1.9896,               0.007624,               0.007624,               0.007624
                     27,                0.90072,                0.64748,                 1.3124,                0.91436,                0.92438,                0.93457,                0.57393,                  1.464,                 0.6718,                 2.0209,               0.007525,               0.007525,               0.007525
