                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5155,                 3.2308,                 1.8352,                0.76977,                0.61694,                0.73187,                0.43653,                  1.266,                 2.3746,                 1.6368,             0.00030052,             0.00030052,             0.00030052
                      2,                 1.4302,                 2.1782,                 1.6852,                0.69913,                0.67103,                0.81605,                0.46392,                 1.3459,                 1.8682,                 1.6744,             0.00059605,             0.00059605,             0.00059605
                      3,                 1.4017,                 1.8304,                 1.6446,                0.84996,                0.72798,                0.83181,                  0.499,                 1.3449,                 1.6117,                 1.6773,             0.00088408,             0.00088408,             0.00088408
                      4,                 1.4112,                 1.6038,                  1.613,                0.80234,                0.71744,                0.86656,                 0.5488,                 1.2473,                 1.6505,                 1.5402,             0.00087525,             0.00087525,             0.00087525
                      5,                  1.357,                 1.4111,                  1.569,                0.81213,                0.80812,                0.88695,                0.50579,                 1.6731,                 1.5574,                 1.9022,             0.00087525,             0.00087525,             0.00087525
                      6,                 1.3664,                 1.2811,                 1.5685,                0.78113,                0.88575,                0.87369,                 0.5393,                 1.2918,                0.98935,                 1.5658,               0.000864,               0.000864,               0.000864
                      7,                 1.2808,                 1.1534,                 1.4958,                0.80422,                0.93197,                0.92698,                0.56667,                 1.3405,                0.84303,                 1.6534,             0.00085276,             0.00085276,             0.00085276
                      8,                 1.2649,                 1.0835,                 1.4892,                0.84751,                0.91588,                0.90538,                0.45829,                 1.5356,                0.92698,                 1.8763,             0.00084151,             0.00084151,             0.00084151
                      9,                 1.2388,                 1.0198,                 1.4667,                0.78927,                0.83377,                0.81807,                0.45812,                 1.4314,                 1.0186,                 1.7301,             0.00083026,             0.00083026,             0.00083026
                     10,                 1.2318,                0.99932,                 1.4565,                0.88524,                0.86054,                0.85898,                0.52512,                 1.4436,                0.85691,                 1.7947,             0.00081901,             0.00081901,             0.00081901
                     11,                 1.2187,                0.94456,                 1.4437,                0.82392,                0.91767,                0.89599,                0.53031,                 1.2899,                0.84234,                 1.5715,             0.00080776,             0.00080776,             0.00080776
                     12,                 1.2083,                0.91918,                 1.4302,                0.77808,                0.86231,                0.80623,                0.49421,                 1.6184,                0.80321,                 1.8816,             0.00079651,             0.00079651,             0.00079651
                     13,                 1.1904,                 0.9013,                 1.4109,                0.86444,                0.88776,                0.88912,                0.53616,                 1.4366,                0.73077,                 1.7127,             0.00078526,             0.00078526,             0.00078526
                     14,                  1.174,                0.85989,                 1.4121,                0.79973,                0.88435,                0.85453,                0.53132,                 1.4691,                0.77291,                 1.7405,             0.00077401,             0.00077401,             0.00077401
                     15,                 1.1645,                0.83144,                 1.3849,                0.86403,                0.88194,                0.85869,                0.56576,                 1.4237,                0.67498,                 1.8981,             0.00076276,             0.00076276,             0.00076276
                     16,                 1.1428,                0.80769,                 1.3848,                  0.909,                0.90816,                0.90782,                0.54992,                 1.4273,                 0.7549,                 1.6904,             0.00075152,             0.00075152,             0.00075152
                     17,                 1.1127,                0.79296,                 1.3593,                0.83645,                0.90707,                0.86405,                0.52852,                 1.5819,                0.66644,                 1.9351,             0.00074027,             0.00074027,             0.00074027
                     18,                 1.1115,                0.77259,                 1.3515,                0.92233,                0.93108,                0.93323,                0.57149,                 1.3461,                0.63705,                  1.686,             0.00072902,             0.00072902,             0.00072902
                     19,                 1.1038,                0.76969,                 1.3557,                0.85891,                 0.9038,                0.89662,                0.55658,                 1.3912,                0.62336,                 1.7404,             0.00071777,             0.00071777,             0.00071777
                     20,                 1.0914,                0.74716,                 1.3341,                0.87946,                0.93197,                0.92519,                0.56918,                 1.3272,                0.60817,                  1.699,             0.00070652,             0.00070652,             0.00070652
                     21,                 1.0779,                0.74703,                 1.3368,                0.84982,                0.90481,                0.88254,                0.53898,                 1.4543,                0.62418,                 1.7627,             0.00069527,             0.00069527,             0.00069527
                     22,                 1.0706,                0.72159,                 1.3273,                0.85495,                0.89099,                0.87481,                0.57735,                 1.3951,                0.60856,                 1.7238,             0.00068402,             0.00068402,             0.00068402
                     23,                  1.047,                0.69112,                 1.3151,                0.86381,                0.87041,                0.87814,                0.55306,                 1.4993,                0.65216,                 1.7347,             0.00067277,             0.00067277,             0.00067277
                     24,                 1.0593,                0.68126,                 1.3152,                0.85377,                0.89032,                0.89452,                0.56045,                 1.4049,                0.62765,                 1.6378,             0.00066152,             0.00066152,             0.00066152
                     25,                 1.0411,                0.67352,                 1.3072,                0.87396,                0.90816,                0.88465,                0.56293,                 1.4281,                 0.6127,                 1.8191,             0.00065028,             0.00065028,             0.00065028
                     26,                 1.0517,                0.67501,                 1.3115,                0.87996,                0.90413,                0.90722,                0.59225,                 1.3117,                0.55846,                 1.7096,             0.00063903,             0.00063903,             0.00063903
