                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2717,                 4.6154,                  1.684,                0.76864,                0.07449,                0.08475,                0.05236,                 1.3356,                 4.9541,                 1.9074,             6.3756e-05,             6.3756e-05,             6.3756e-05
                      1,                 1.2092,                 3.7398,                 1.6167,                0.65954,                0.31709,                0.35096,                0.20803,                 1.3595,                 4.0993,                 1.8971,             0.00012523,             0.00012523,             0.00012523
                      2,                 1.2199,                 2.9728,                 1.6111,                0.60452,                0.46694,                0.52476,                0.33098,                 1.3171,                 3.3992,                 1.8799,             0.00018416,             0.00018416,             0.00018416
                      3,                 1.2178,                 2.4697,                 1.5891,                0.66736,                  0.657,                0.73345,                0.44203,                  1.346,                 2.7938,                 1.9123,              0.0001806,              0.0001806,              0.0001806
                      4,                 1.1611,                 2.1217,                 1.5383,                0.66262,                0.69967,                0.76204,                0.46238,                  1.356,                 2.5092,                  1.901,              0.0001806,              0.0001806,              0.0001806
                      5,                 1.1369,                 1.8725,                 1.5068,                  0.833,                0.75484,                 0.8755,                0.50379,                 1.4388,                 2.2082,                 1.9831,             0.00017679,             0.00017679,             0.00017679
                      6,                 1.1148,                 1.6958,                 1.4756,                 0.8413,                0.84026,                0.89544,                0.55102,                 1.3703,                 1.9337,                 1.8927,             0.00017299,             0.00017299,             0.00017299
                      7,                 1.0994,                 1.5812,                 1.4609,                0.82272,                0.86759,                0.89478,                0.56557,                 1.2858,                 1.8112,                 1.8315,             0.00016919,             0.00016919,             0.00016919
                      8,                 1.0704,                 1.4772,                 1.4414,                0.79821,                0.88278,                0.90659,                0.55454,                  1.379,                 1.7156,                 1.9121,             0.00016539,             0.00016539,             0.00016539
                      9,                 1.0615,                 1.3961,                 1.4289,                 0.8813,                0.88896,                0.92332,                0.55755,                 1.3893,                 1.6246,                 1.9098,             0.00016159,             0.00016159,             0.00016159
                     10,                 1.0453,                 1.3135,                 1.4155,                0.86964,                0.88186,                0.91618,                0.57392,                 1.3725,                 1.6192,                 1.8682,             0.00015779,             0.00015779,             0.00015779
                     11,                 1.0226,                 1.2709,                 1.3967,                0.87855,                0.87905,                0.91496,                 0.5813,                  1.324,                 1.5165,                 1.8307,             0.00015398,             0.00015398,             0.00015398
                     12,                 1.0185,                 1.2086,                 1.3832,                 0.8689,                0.91316,                0.93863,                0.60483,                 1.2789,                 1.4048,                 1.7779,             0.00015018,             0.00015018,             0.00015018
                     13,                0.99142,                 1.1429,                 1.3644,                0.89684,                0.89741,                0.93346,                0.58489,                 1.3568,                  1.334,                 1.8585,             0.00014638,             0.00014638,             0.00014638
